Week,Desde,Hasta,Hoteles,Hotel id (P),Hotel,Campaigns,Impressions,Clicks,Conversions,Searchs,Bookings,Cancel_bookings,Nights,Conversion,Discount,Inventory,H.Ventas,H.Cancelaciones,PX.Ingresos,PX.Costos,Roi
20,2026-05-17,2026-05-21,1,12,Villaggio Hotel Boutique,8,2781,94,33,51,0,0,0,1.46,5.86,64.32,0,0,0,"37.258,05",-100
20,2026-05-17,2026-05-21,1,15,Soltigua Apart Hotel,10,2021,179,85,85,2,0,3,1.7,32.63,74.31,199.056,0,"27.867,84","91.534,07",-69.55
20,2026-05-17,2026-05-21,1,260,Diplomatic Hotel,25,31914,1197,309,374,4,1,11,1.15,6.68,74.28,3.314.400,1.082.090,"464.016,00","307.682,22",50.81
20,2026-05-17,2026-05-21,1,1958,"Villa Mansa, Wine Hotel & Spa",15,5314,146,36,43,1,1,1,0.91,13.27,92.89,192.574,550.159,"26.960,36","24.345,05",10.74
20,2026-05-17,2026-05-21,1,2759,Manantiales Hoteles & Entretenimientos Mercedes,10,757,77,39,42,2,1,4,3.79,0,72.92,530.578,115.702,"74.280,92","25.656,28",189.52
20,2026-05-17,2026-05-21,1,2802,Hotel Plaza,15,13648,488,107,142,3,0,7,1.31,-14.68,50.86,1.250.083,0,"175.011,62","52.118,76",235.79
20,2026-05-17,2026-05-20,1,2894,Tequendama Spa & Resort,7,1921,122,25,98,0,0,0,0,0,55.19,0,0,0,"22.567,88",-100
20,2026-05-17,2026-05-21,1,3016,Hotel Sunset Beach,10,2894,376,70,77,0,0,0,0.66,23.91,69.54,0,0,0,"30.207,35",-100
20,2026-05-17,2026-05-21,1,3488,Hotel Michelangelo,15,33343,1317,90,89,0,0,0,0.02,6.37,84.26,0,0,"0,00","102.281,24",-100
20,2026-05-17,2026-05-21,1,3771,Abedul Mar de las Pampas,10,1838,151,27,90,0,0,0,1,0,17.78,0,0,"0,00","28.230,79",-100
20,2026-05-17,2026-05-21,1,3836,Quijano Apart & Suites,10,10439,267,74,83,0,0,0,01.08,9.36,45.14,0,0,"0,00","36.458,30",-100
20,2026-05-17,2026-05-21,1,3912,Raíces Esturión Hotel,15,32978,1236,184,147,0,2,0,0.45,-0.37,28.33,0,0,"0,00","161.095,50",-100
20,2026-05-17,2026-05-21,1,3913,Hotel Raíces Aconcagua,15,22866,1320,276,322,0,1,0,0.64,2.55,67.57,0,0,0,"43.795,12",-100
20,2026-05-17,2026-05-21,1,4036,Farnese Apart Spa Mar de las Pampas,15,5280,256,83,138,2,0,6,02.03,0,36.11,590.000,0,82.600,"52.215,46",58.19
20,2026-05-17,2026-05-21,1,4100,El Parque Hotel y Cabañas,10,5579,577,102,129,1,0,1,1.63,15.31,80.82,216.588,0,"30.322,32","14.791,10",105
20,2026-05-17,2026-05-21,1,4264,Lagos Del Calafate,8,956,92,30,54,0,0,0,0.14,0,81.65,0,0,0,"22.289,77",-100
20,2026-05-17,2026-05-21,1,4280,La Aldea de la Selva,15,30796,1468,271,305,5,0,12,0.95,56.29,84.31,1.847.953,0,"258.713,42","172.393,11",50.07
20,2026-05-17,2026-05-21,1,4621,Bahía 87,10,697,166,41,56,0,0,0,1.71,0,54.78,0,0,0,"23.397,50",-100
20,2026-05-17,2026-05-21,1,4829,Dakar Hoteles,10,6745,516,139,195,11,1,32,5.76,52.39,68.72,3.534.987,199.084,"494.898,18","156.602,26",216.02
20,2026-05-17,2026-05-21,1,4945,Patagonia Hotel,10,3922,276,64,177,1,0,6,0.68,40.32,54.37,0,0,0,"85.988,83",-100
