Week,Desde,Hasta,Hoteles,Hotel id (P),Hotel,Campaigns,Impressions,Clicks,Conversions,Searchs,Bookings,Cancel_bookings,Nights,Conversion,Discount,Inventory,H.Ventas,H.Cancelaciones,PX.Ingresos,PX.Costos,Roi
18,2026-05-03,2026-05-09,1,12,Villaggio Hotel Boutique,63,7834,467,48,46,0,0,0,2.65,2.84,69.11,0,0,0,"46.533,52",-100
18,2026-05-03,2026-05-09,1,15,Soltigua Apart Hotel,14,2705,150,63,69,2,2,3,1.11,37.06,79.52,216.532,799.396,"30.314,48","33.840,14",-10.42
18,2026-05-03,2026-05-09,1,260,Diplomatic Hotel,35,35139,1517,355,456,6,1,29,0.98,8.87,70.94,7.432.675,601.782,"1.040.574,50","331.912,54",213.51
18,2026-05-03,2026-05-09,1,1958,"Villa Mansa, Wine Hotel & Spa",21,8694,248,77,80,1,0,3,0.88,20.53,92.24,550.721,0,"77.100,94","31.408,66",145.48
18,2026-05-03,2026-05-09,1,2759,Manantiales Hoteles & Entretenimientos Mercedes,14,953,90,35,38,2,0,2,3.84,0,75.83,265.290,0,"37.140,60","26.074,76",42.44
18,2026-05-03,2026-05-09,1,2802,Hotel Plaza,21,17671,970,133,225,2,1,3,1.1,-0.19,56.19,477.190,0,"66.806,60","48.568,41",37.55
18,2026-05-03,2026-05-09,1,2894,Tequendama Spa & Resort,14,5028,222,27,161,0,0,0,0.09,0,65.64,0,0,0,"17.212,01",-100
18,2026-05-03,2026-05-09,1,3016,Hotel Sunset Beach,14,11561,1683,228,249,0,0,0,1.1,36.22,69.76,0,0,0,"79.677,77",-100
18,2026-05-03,2026-05-09,1,3488,Hotel Michelangelo,21,17901,1847,69,89,1,0,8,0.02,3.54,78.98,2.274.840,0,"318.477,60","55.750,71",471.25
18,2026-05-03,2026-05-09,1,3771,Abedul Mar de las Pampas,14,1605,128,6,71,0,0,0,1.93,0,9.36,0,0,0,"16.763,31",-100
18,2026-05-03,2026-05-09,1,3836,Quijano Apart & Suites,14,8476,215,48,56,0,1,0,1.4,2.13,52.59,0,0,0,"25.534,51",-100
18,2026-05-03,2026-05-09,1,3912,Raíces Esturión Hotel,21,26597,1185,211,146,0,3,0,0.61,-4.79,27.62,0,412.485,0,"183.762,73",-100
18,2026-05-03,2026-05-09,1,3913,Hotel Raíces Aconcagua,21,12627,870,192,246,2,0,7,0.78,3.81,86.73,981.896,0,"137.465,44","37.266,75",268.87
18,2026-05-03,2026-05-09,1,4036,Farnese Apart Spa Mar de las Pampas,21,6659,427,100,184,2,3,4,1.88,0,44.62,473.000,715.000,66.220,"67.586,64",-2.02
18,2026-05-03,2026-05-09,1,4100,El Parque Hotel y Cabañas,14,5598,699,110,153,2,0,2,1.31,9.97,77.44,248.555,0,"34.797,70","19.809,63",75.66
18,2026-05-03,2026-05-09,1,4264,Lagos Del Calafate,14,2002,139,34,73,0,0,0,0.04,0,86.81,0,0,0,"19.085,84",-100
18,2026-05-03,2026-05-09,1,4280,La Aldea de la Selva,21,96244,4251,475,521,4,0,14,0.83,36.76,86,2.992.954,0,"419.013,56","324.637,09",29.07
18,2026-05-03,2026-05-09,1,4621,Bahía 87,14,1132,202,49,49,0,0,0,01.07,0,60.82,0,0,0,"20.886,10",-100
18,2026-05-03,2026-05-09,1,4829,Dakar Hoteles,14,8282,659,229,265,7,0,23,6.76,40.95,68.16,2.265.130,0,"317.118,20","175.086,24",81.12
18,2026-05-03,2026-05-09,1,4945,Patagonia Hotel,14,3590,230,68,147,1,1,4,0.83,-9.88,63.74,537.240,110.500,"75.213,60","60.544,92",24.23
18,2026-05-03,2026-05-09,1,5366,Hotel Molino de Viento,28,12774,588,126,194,0,0,0,0.21,-10.82,67.79,0,0,0,"107.404,64",-100
18,2026-05-03,2026-05-07,1,5700,Condado Hotel Casino Paso de la Patria,6,2405,89,3,45,0,0,0,0,0,0,0,0,0,"8.992,91",-100
18,2026-05-03,2026-05-09,1,5888,Moray,14,3161,152,36,87,0,0,0,1.88,0,44.35,0,0,0,"15.292,73",-100
18,2026-05-03,2026-05-09,1,6236,Hotel Agua Nativa,21,43942,553,175,146,2,0,2,0.09,10.44,99.03,197.929,0,"27.710,06","82.559,22",-66.44
18,2026-05-03,2026-05-09,1,6276,La Sofía Apart & Wines,14,3721,150,16,9,0,0,0,0,-5.71,68.78,0,0,0,"22.048,52",-100
18,2026-05-03,2026-05-09,1,6364,Piattelli Wine Resort,28,52755,3245,448,563,3,3,5,0.63,2.52,86.38,1.753.700,0,245.518,"157.180,73",56.2
18,2026-05-03,2026-05-09,1,6706,Arcos Hotel,14,3668,176,61,63,1,1,3,0.68,7.94,69.54,148.760,0,"20.826,40","20.140,07",3.41
18,2026-05-03,2026-05-09,1,6746,Los Espinillos Hotel & Spa,14,3781,99,1,2,0,0,0,0.17,27.56,33.59,0,0,0,"12.090,98",-100
18,2026-05-03,2026-05-09,1,6786,Mito Casa Hotel,14,5360,177,37,39,0,0,0,0.88,15,87.89,0,0,0,"23.809,86",-100
